Tag Number,Gender,Date of Birth,Breed,Date Moved In,TB Test Date,Negative BVD
ie00001,FEMALE,16/03/2017,AAX,,03/12/2021,28/03/2017
ie00002,FEMALE,23/04/2017,AAX,,03/12/2021,03/05/2017
ie00003,FEMALE,05/01/2018,AAX,,03/12/2021,12/01/2018
ie00004,FEMALE,15/02/2019,AAX,,03/12/2021,22/02/2019
ie00005,FEMALE,05/02/2019,AAX,,03/12/2021,22/02/2019
ie00006,FEMALE,25/01/2020,AAX,,03/12/2021,06/02/2020
ie00007,FEMALE,07/03/2020,AAX,,03/12/2021,20/03/2020
ie00008,MALE,17/02/2021,AAX,,03/12/2021,23/02/2021
ie00009,MALE,17/02/2021,AAX,,03/12/2021,23/02/2021
ie00010,MALE,19/02/2021,AAX,,03/12/2021,23/02/2021
ie00011,MALE,27/02/2021,AAX,,03/12/2021,02/03/2021
ie00012,MALE,03/03/2021,AAX,,03/12/2021,11/03/2021
ie00013,MALE,07/03/2021,AAX,,03/12/2021,11/03/2021
ie00014,FEMALE,10/03/2021,AAX,,03/12/2021,18/03/2021
ie00015,FEMALE,31/03/2021,AAX,,03/12/2021,14/04/2021
ie00016,MALE,31/03/2021,AAX,,03/12/2021,14/04/2021
ie00017,FEMALE,17/04/2021,AAX,,03/12/2021,29/04/2021
ie00018,FEMALE,01/04/2016,HEX,05/05/2016,03/12/2021,08/04/2016
ie00019,FEMALE,01/07/2014,SIX,17/07/2014,03/12/2021,04/07/2014
ie00020,FEMALE,20/06/2014,HEX,17/07/2014,03/12/2021,01/07/2014
ie00021,FEMALE,26/05/2006,AAX,,03/12/2021,
ie00022,FEMALE,15/03/2011,SIX,13/08/2012,03/12/2021,
